trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
11	flowers_purple_stems_white_petals_or_orange_centers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922539568	speaker	flower-petals_color-white	flower-center_color-orange	flower-petals_color-orange	target	25073	clickedObj
12	fish_orange_bodies_purple_stripes_or_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922551870	speaker	fish-stripes_color-purple	fish-stripes_color-orange	fish-stripes_color-white	target	8283	clickedObj
13	bugs_orange_antennae_or_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922579304	speaker	bug-antennae_color-orange	bug-head_color-white	bug-legs_color-white	target	24366	clickedObj
14	trees_purple_leaves_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922590425	speaker	tree-leaves_color-purple	tree-trunk_color-purple	tree-trunk_color-white	target	8036	clickedObj
15	flowers_orange_stems	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922609620	speaker	flower-stem_color-orange	flower-stem_color-purple	flower-center_color-white	target	15819	clickedObj
16	trees_purple_trunks_or_white_leaves_orange_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922625771	speaker	tree-trunk_color-purple	tree-leaves_color-white	tree-leaves_color-purple	target	13076	clickedObj
17	flowers_purple_stems_or_thorns_white_centers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922645855	speaker	flower-center_color-white	flower-petals_color-orange	flower-center_color-purple	target	17014	clickedObj
18	bugs_purple_wings_or_white_legs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922658819	speaker	bug-bug_wings_color-purple	bug-wings_present-false	bug-bug_wings_color-purple	target	9892	clickedObj
19	flowers_purple_stems_thorns	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922682717	speaker	flower-stem_color-purple	flower-stem_color-orange	flower-petals_color-orange	target	20813	clickedObj
20	trees_purple_berries_or_white_trunks	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922699801	speaker	tree-trunk_color-white	tree-leaves_color-white	tree-leaves_color-purple	target	13744	clickedObj
21	birds_orange_wings_tails	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922717822	speaker	bird-bird_wing_color-orange	bird-crest_tail_color-orange	bird-bird_wing_color-orange	target	14940	clickedObj
22	bugs_white_heads_or_orange_antennae_purple_legs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922742403	speaker	bug-head_color-white	bug-head_color-orange	bug-legs_color-white	target	21503	clickedObj
23	trees_purple_trunks_or_white_leaves_orange_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922754617	speaker	tree-leaves_color-white	tree-leaves_present-false	tree-leaves_color-purple	target	8842	clickedObj
24	fish_white_bodies_orange_stripes_or_fangs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922765881	speaker	fish-body_color-white	fish-stripes_color-white	fish-stripes_color-orange	target	8196	clickedObj
25	trees_leaves_berries_or_orange_trunks	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922786988	speaker	tree-trunk_color-orange	tree-trunk_color-purple	tree-berries_color-purple	target	17733	clickedObj
26	fish_fangs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922805944	speaker	fish-fangs_present	fish-stripes_color-white	fish-whiskers_present-true	target	15890	clickedObj
27	trees_leaves_berries_or_orange_trunks	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922826749	speaker	tree-berries_present	tree-berries_color-purple	tree-leaves_present-false	target	17717	clickedObj
28	bugs_purple_wings_or_white_legs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922850940	speaker	bug-legs_color-white	bug-wings_present-false	bug-antennae_present-false	target	20511	clickedObj
29	bugs_antennae_or_wings_purple_bodies	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922883429	speaker	bug-body_color-purple	bug-wings_present-true	bug-body_color-purple	target	29118	clickedObj
30	trees_purple_trunks_or_white_leaves_orange_berries	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922901077	speaker	tree-berries_color-orange	tree-leaves_color-white	tree-berries_color-purple	target	14574	clickedObj
31	birds_orange_tails_or_white_wings_orange_crests	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922918581	speaker	bird-bird_wing_color-white	bird-bird_wing_color-white	bird-crest_tail_color-orange	target	14434	clickedObj
32	fish_orange_bodies_purple_stripes_or_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922937707	speaker	fish-stripes_present	fish-stripes_color-purple	fish-body_color-white	target	16058	clickedObj
33	flowers_purple_centers_or_orange_stems_with_thorns	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922959470	speaker	flower-center_color-purple	flower-petals_color-purple	flower-stem_color-orange	target	18676	clickedObj
34	birds_orange_crests_or_purple_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554922979827	speaker	bird-crest_tail_color-orange	bird-bird_wing_color-purple	bird-bird_wing_color-white	target	16927	clickedObj
35	fish_white_stripes_or_purple_bodies_whiskers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923007932	speaker	fish-body_color-purple	fish-whiskers_present-false	fish-fangs_present-true	target	25034	clickedObj
36	bugs_white_heads_or_orange_antennae_purple_legs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923021855	speaker	bug-legs_color-purple	bug-head_color-white	bug-wings_present-false	distr2	10844	clickedObj
37	bugs_purple_legs_white_heads_or_orange_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923037717	speaker	bug-bug_wings_color-orange	bug-bug_wings_color-orange	bug-legs_color-white	target	12792	clickedObj
38	bugs_wings_antennae	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923065043	speaker	bug-antennae_present	bug-legs_color-purple	bug-body_color-purple	target	24254	clickedObj
39	flowers_purple_stems_white_petals_or_orange_centers	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923084459	speaker	flower-center_color-orange	flower-center_color-purple	flower-petals_color-purple	target	16325	clickedObj
40	birds_white_crests_or_orange_wings_tails	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923111628	speaker	bird-crest_tail_color-white	bird-crest_tail_color-white	bird-bird_wing_color-orange	target	23793	clickedObj
41	bugs_without_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923145527	speaker	bug-wings_present	bug-antennae_color-orange	bug-legs_color-purple	target	30825	clickedObj
42	birds_orange_crests_or_purple_wings	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923166691	speaker	bird-crest_present	bird-tail_present-true	bird-crest_tail_color-white	distr1	18098	clickedObj
43	fish_white_bodies_orange_stripes_or_fangs	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923180312	speaker	fish-stripes_color-orange	fish-whiskers_present-true	fish-body_color-orange	target	10549	clickedObj
44	birds_tails	development	8576-e5b45ae6-a057-4a9d-8b0b-cf1654183f52	1554923192488	speaker	bird-tail_present	bird-crest_tail_color-white	bird-crest_tail_color-orange	target	9085	clickedObj
